song,t1,t2,rms,zcr,spectral_centroid,bandwidth,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,contains_violin,contains_vocal,contains_mridangam
187_Aaniraimekkani,0,11025,0.0070755924098193645,0.03125,2038.273176705761,3061.487205373182,-475.2801513671875,156.1840057373047,-11.506665229797363,34.35670471191406,-14.94067668914795,-0.8644058704376221,-27.303123474121094,-19.316476821899414,-7.207168102264404,-6.3765950202941895,-5.740288257598877,-1.0527504682540894,-0.36847737431526184,0.1994609832763672,-1.1684813499450684,4.977238655090332,-8.434334754943848,-11.834630966186523,-4.411605358123779,8.450573921203613,0,0,1
187_Aaniraimekkani,11025,22050,0.028326738625764847,0.04274680397727273,2123.067288279835,2710.6283459084207,-367.2276611328125,167.71214294433594,-47.14714050292969,30.42864418029785,-27.221349716186523,-1.523576021194458,-26.986692428588867,-10.629996299743652,-10.000821113586426,-27.50023078918457,-4.475083827972412,-2.3402936458587646,1.8541877269744873,-5.680525779724121,-12.296219825744629,3.9272255897521973,-6.1937055587768555,-8.062494277954102,-0.26332899928092957,3.2137038707733154,0,1,1
187_Aaniraimekkani,22050,33075,0.07861562073230743,0.07992276278409091,2291.3166647089943,2267.8430830589155,-257.7691650390625,155.69320678710938,-99.97598266601562,35.960166931152344,-30.30005645751953,-3.304694414138794,-22.919898986816406,-11.712130546569824,-21.154638290405273,-42.74082946777344,0.5554515719413757,-1.864302158355713,5.6052069664001465,-19.066688537597656,-22.301006317138672,-2.134896993637085,-8.832921981811523,11.438443183898926,3.5298025608062744,-4.397126197814941,0,1,1
187_Aaniraimekkani,33075,44100,0.09652981907129288,0.07481800426136363,2276.0233303699297,2130.377442448738,-248.24755859375,149.4632568359375,-106.58271789550781,21.89759063720703,-23.75457763671875,3.5076773166656494,-20.22172737121582,-18.07733917236328,-24.11652374267578,-31.30265998840332,1.1240851879119873,-2.0413057804107666,-2.962999105453491,-22.120323181152344,-20.18919563293457,-6.602383613586426,0.5430601239204407,9.988533973693848,2.3234379291534424,-2.9102373123168945,0,1,1
187_Aaniraimekkani,44100,55125,0.08918645232915878,0.07490678267045454,2281.280555553614,2044.4608911795635,-241.16136169433594,158.9829864501953,-108.41677856445312,11.939337730407715,-26.00227165222168,9.941356658935547,-25.224811553955078,-17.031082153320312,-19.64214324951172,-28.96217155456543,3.7153944969177246,1.2310702800750732,-7.358641147613525,-24.523317337036133,-13.540337562561035,-1.1874454021453857,0.31680309772491455,2.8133559226989746,-1.953330159187317,-2.831416130065918,0,1,1
187_Aaniraimekkani,55125,66150,0.055731941014528275,0.05690696022727273,2107.352888039465,2434.314014347517,-309.3290710449219,148.39707946777344,-70.55410766601562,23.00298500061035,-26.669567108154297,8.218975067138672,-37.17955780029297,-7.272454738616943,-29.287742614746094,-29.344207763671875,7.836441516876221,6.288268566131592,-15.579559326171875,-19.792436599731445,-1.6039340496063232,-4.483609199523926,-1.5272736549377441,-9.073833465576172,-3.265591621398926,11.053954124450684,0,1,1
187_Aaniraimekkani,66150,77175,0.0637148767709732,0.06547407670454546,2256.7535166206844,2412.2050676452095,-298.38397216796875,136.23789978027344,-81.80175018310547,26.444623947143555,-25.4804630279541,5.263472080230713,-30.260351181030273,-0.6028092503547668,-12.21596908569336,-18.545934677124023,5.1158905029296875,-3.379260301589966,-17.27397918701172,-14.569485664367676,-3.5042099952697754,-3.582570791244507,-0.7575080394744873,-12.997735977172852,-6.712360858917236,14.247039794921875,0,1,1
187_Aaniraimekkani,77175,88200,0.05433392897248268,0.04578746448863636,2221.9340632406825,2478.148182455188,-314.2872009277344,140.84774780273438,-76.87136840820312,18.685976028442383,-23.8378849029541,1.4378330707550049,-38.8133430480957,-1.9893715381622314,-15.490645408630371,-10.75533676147461,3.10312819480896,-6.312530994415283,-20.642789840698242,-27.594152450561523,-0.6349024176597595,2.70711350440979,10.008797645568848,8.101624488830566,16.422264099121094,27.605680465698242,0,1,1
187_Aaniraimekkani,88200,99225,0.04963119328022003,0.04665305397727273,2328.603421392588,2503.066804910009,-336.46160888671875,126.61486053466797,-76.8604736328125,21.8903751373291,-16.446134567260742,5.637889385223389,-29.584270477294922,3.452329397201538,-14.205099105834961,-5.759693622589111,2.6661760807037354,-7.2304582595825195,-29.75762367248535,-31.092924118041992,4.749487400054932,15.468552589416504,32.56357955932617,22.96885871887207,31.33302116394043,23.798866271972656,0,1,0
187_Aaniraimekkani,99225,110250,0.06290185451507568,0.062255859375,2270.2573901092724,2303.4570936558634,-300.3568115234375,141.61981201171875,-89.73303985595703,24.16082000732422,-27.656538009643555,2.4938573837280273,-24.770967483520508,2.833780527114868,-12.56809139251709,-18.487918853759766,6.281675815582275,-8.745954513549805,-17.888935089111328,-17.27142333984375,-9.811372756958008,-12.585968017578125,1.6727246046066284,-0.28991076350212097,-0.6469652652740479,18.550363540649414,0,1,1
187_Aaniraimekkani,110250,121275,0.04530052840709686,0.03402432528409091,2037.3232483219547,2424.6562977266553,-346.0846862792969,146.149169921875,-59.32569885253906,37.29975128173828,-3.8577399253845215,4.908777236938477,-36.335655212402344,-11.363225936889648,-19.010787963867188,-10.519442558288574,1.0853997468948364,-17.288341522216797,-12.424344062805176,-10.715720176696777,-10.023571968078613,-12.956787109375,-2.6673741340637207,-8.115528106689453,-1.0135966539382935,21.198951721191406,0,1,1
